"state_no_vec","z","z_true","pr_post"
"4639 4640 4735 4736 4738 4739 4742 4743 4939","37 47","4739","0.01 0.00 0.03 0.05 0.55 0.35 0.00 0.00 0.00"
"4535 4635 4639 4640 4734 4735 4736 4737 4738 4739 4741 4742 4743 4833 4834 4835 4836 4933 4939 5027 5426","28 49","4735","0.00 0.00 0.01 0.00 0.00 0.13 0.04 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.77 0.00"
"4535 4635 4639 4640 4734 4735 4736 4737 4738 4739 4741 4742 4833 4834 4835 4836 4933 5133 5426 6226","24 53","5426","0.01 0.01 0.00 0.00 0.03 0.07 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.02 0.04 0.00 0.02 0.01 0.76 0.01"
"4035 4236 4336 4532 4635 4639 4734 4735 4736 4738 4833 4834 4835 4836 4933 4934 4935 5033 5133 5426 6626 6924","25 68","6626","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.01"
"7121","21 71","7121","0.99"
"7122","22 71","7122","0.99"
"7021 7122 7221","21 71","7122","0.00 1.00 0.00"
"7021 7122 7221","20 71","7221","0.01 0.00 0.99"
"7129","29 71","7129","0.99"
"7535","35 75","7535","0.99"
"7744","44 77","7744","0.99"
"7650","50 76","7650","0.99"
"7658","58 76","7658","0.99"
"7870","70 78","7870","0.99"
"8679","79 86","8679","0.99"
"9183","83 91","9183","0.99"
"9182","82 91","9182","0.99"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.01 0.99"
"8777 9181 9182","81 90","9182","0.00 0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","82 90","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","81 90","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","82 91","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","81 91","9182","0.00 1.00"
"9181 9182","80 90","9181","1.00 0.00"
"8777","77 87","8777","1.00"
"8575","75 85","8575","1.00"
"7787","87 77","7787","1.00"
"6586","86 65","6586","1.00"
"5483","83 54","5483","1.00"
"4274","74 42","4274","1.00"
"4168","68 41","4168","1.00"
"3952 3958","58 38","3958","0.00 1.00"
"3456 3670 3943 4657 4758","42 42","3943","0.00 0.00 0.94 0.05 0.00"
"2857 3641 3947 3958 4548 4657 4941 6742 6767 6867","46 38","3641","0.00 0.20 0.63 0.01 0.16 0.00 0.00 0.00 0.00 0.00"
"3538 3638 3640 3950 4063 4145 4741","33 36","3538","0.55 0.31 0.13 0.00 0.00 0.00 0.00"
"2763 2857 2858 2859 3337 3434 3537 3538 3539 3636 3637 3638 3639 3640 3858 4842 4941 4942 6767 6867 6967","31 18","3538","0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.57 0.02 0.00 0.15 0.14 0.00 0.09 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2763 2857 2858 2859 3337 3432 3434 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3858 4842 4941 4942 6767 6867 6967","35 34","3538","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.65 0.02 0.03 0.03 0.01 0.11 0.08 0.00 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2763 2857 2858 2859 3230 3332 3337 3432 3434 3534 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3734 3834 3836 3858 3934 3935 4340 4842 4941 4942 6767 6867 6967","45 44","3538","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.69 0.04 0.01 0.02 0.00 0.06 0.05 0.01 0.05 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.00 0.00 0.00"
"2763 2857 2858 2859 3333 3337 3432 3434 3438 3534 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3734 3740 3741 3834 3836 3858 3934 3935 3943 4035 4145 4340 4639 4640 4842 4941 4942 6767 6867 6967","39 44","3538","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.59 0.03 0.02 0.02 0.01 0.04 0.03 0.01 0.03 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.00 0.02 0.00 0.01 0.03 0.03 0.03 0.03 0.03 0.00 0.00 0.00"
"2763 2857 2858 2859 2931 3333 3337 3432 3434 3438 3534 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3641 3734 3735 3740 3741 3742 3834 3835 3836 3858 3934 3935 3943 4035 4135 4136 4145 4239 4339 4340 4535 4538 4539 4540 4638 4639 4640 4642 4643 4737 4738 4739 4841 4842 4843 4939 4941 4942 4943 4949 6767 6867 6967","69 71","6867","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.20 0.52 0.26"
"2230 2372 2427 2689 2757 2856 2857 2858 2859 3057 3137 3238 3256 3257 3456 3538 3758 3858 3958 4058 4157 4357 4446 4546 4640 4647 4741 4747 4847 4940 4942 4947 5047 6566 6568 6667 6668 6765 6766 6767 6768 6819 6866 6867 6868 6966 6967 6968 6969 7063 9488","56 44","3057","0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.00 0.02 0.04 0.02 0.01 0.03 0.04 0.01 0.01 0.00 0.01 0.00 0.02 0.02 0.00 0.00 0.04 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.12 0.01 0.00 0.00 0.33 0.02 0.00 0.14 0.00 0.00 0.00 0.00"
"2230 2372 2427 2689 2756 2757 2856 2857 2858 2859 2956 3050 3057 3137 3238 3256 3257 3356 3456 3457 3538 3557 3657 3670 3757 3758 3858 3943 3958 4057 4058 4157 4257 4357 4358 4446 4456 4457 4458 4546 4557 4639 4640 4646 4647 4657 4658 4737 4741 4742 4747 4757 4758 4847 4940 4942 4947 5040 5047 5147 6566 6567 6568 6657 6667 6668 6765 6766 6767 6768 6819 6866 6867 6868 6966 6967 6968 6969 7059 7063 9488","47 49","3057","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.04 0.01 0.00 0.01 0.04 0.00 0.00 0.00 0.01 0.04 0.02 0.01 0.00 0.00 0.00 0.06 0.02 0.01 0.06 0.00 0.01 0.13 0.00 0.30 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.00 0.00 0.00 0.07 0.00 0.00 0.03 0.00 0.00 0.00 0.00 0.00"
