"state_no_vec","z","z_true","pr_post"
"4236 4440 4539 4635 4637 4638 4639 4640 4739 4740 4743 4840 4940 5041 5241 5242 6848 6948 7660","39 46","4639","0.01 0.00 0.04 0.00 0.00 0.02 0.52 0.13 0.03 0.08 0.00 0.07 0.06 0.03 0.01 0.01 0.00 0.00 0.00"
"3434 3736 3835 4037 4236 4440 4539 4540 4635 4637 4638 4639 4640 4738 4739 4740 4742 4743 4747 4748 4839 4840 4841 4855 4939 4940 5040 5041 5141 5241 5242 5342 5442 5443 5543 5643 5743 5845 6369 6848 6948 7660 7769","33 37","4640","0.01 0.01 0.04 0.01 0.03 0.02 0.06 0.02 0.01 0.01 0.03 0.36 0.17 0.00 0.03 0.05 0.00 0.01 0.00 0.00 0.00 0.03 0.01 0.00 0.00 0.04 0.00 0.01 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2227 3333 3433 3434 3535 3636 3736 3835 4037 4236 4440 4442 4444 4539 4540 4635 4637 4638 4639 4640 4735 4738 4739 4740 4742 4743 4747 4748 4835 4837 4839 4840 4841 4842 4855 4939 4940 5040 5041 5141 5241 5242 5342 5442 5444 5543 5643 5743 5845 6848 6948 7660 7769","44 50","4640","0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.02 0.01 0.00 0.05 0.03 0.00 0.01 0.02 0.28 0.18 0.00 0.00 0.02 0.05 0.01 0.02 0.00 0.00 0.00 0.00 0.01 0.04 0.01 0.02 0.00 0.00 0.04 0.00 0.02 0.01 0.02 0.01 0.01 0.01 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2836 3333 3433 3434 3533 3535 3636 3736 3835 4037 4145 4236 4440 4442 4444 4446 4447 4448 4539 4540 4635 4637 4638 4639 4640 4735 4738 4739 4740 4742 4743 4747 4748 4837 4839 4840 4841 4842 4855 4939 4940 4942 5040 5041 5137 5141 5241 5242 5342 5442 5443 5444 5543 5643 5644 5743 5744 5845 5944 6369 6848 6948 7660 7769","39 40","4037","0.00 0.01 0.03 0.01 0.02 0.03 0.01 0.02 0.01 0.01 0.00 0.01 0.03 0.05 0.03 0.02 0.00 0.00 0.05 0.03 0.00 0.01 0.02 0.23 0.15 0.00 0.00 0.02 0.04 0.01 0.01 0.01 0.01 0.00 0.00 0.02 0.00 0.01 0.00 0.00 0.02 0.02 0.00 0.01 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2227 2428 2836 3132 3137 3333 3433 3434 3436 3533 3535 3636 3736 3834 3835 4037 4044 4145 4236 4346 4440 4442 4444 4446 4447 4448 4455 4539 4540 4635 4637 4638 4639 4640 4735 4738 4739 4740 4742 4743 4747 4748 4837 4839 4840 4841 4842 4855 4939 4940 4942 5040 5041 5137 5141 5241 5242 5342 5442 5444 5543 5643 5644 5743 5845 5944 6848 6948 7660 7769","22 21","3333","0.08 0.06 0.00 0.03 0.00 0.05 0.04 0.01 0.00 0.14 0.05 0.01 0.03 0.07 0.02 0.01 0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.01 0.00 0.01 0.02 0.14 0.06 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2227 2428 2836 2944 3132 3233 3333 3433 3434 3436 3533 3535 3636 3736 3741 3834 3835 4035 4037 4236 4346 4440 4442 4444 4446 4448 4539 4540 4635 4637 4638 4639 4640 4735 4738 4739 4740 4742 4743 4747 4748 4835 4837 4839 4840 4841 4842 4855 4939 4940 4942 5040 5041 5137 5141 5241 5242 5342 5442 5444 5543 5643 5743 5845 6799 6848 6948 7660 7769","39 36","2836","0.04 0.01 0.05 0.00 0.03 0.06 0.01 0.04 0.00 0.02 0.07 0.10 0.11 0.06 0.01 0.18 0.01 0.06 0.00 0.00 0.01 0.01 0.00 0.01 0.01 0.00 0.01 0.00 0.00 0.00 0.00 0.03 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2227 2428 2836 2944 3132 3233 3254 3333 3338 3433 3436 3533 3535 3636 3736 3741 3834 3835 4035 4145 4236 4239 4346 4440 4442 4444 4446 4447 4448 4455 4539 4540 4635 4637 4638 4639 4640 4739 4740 4743 4749 4839 4840 4855 4940 4942 5041 5137 5141 5241 5242 5342 5442 5444 5543 5643 5743 6799 6848 6948 7660 7769","38 25","2944","0.09 0.06 0.06 0.40 0.03 0.02 0.00 0.00 0.01 0.01 0.07 0.02 0.06 0.02 0.02 0.01 0.02 0.00 0.04 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2227 2230 2428 2836 2944 3132 3137 3233 3254 3338 3436 3533 3535 3561 3636 3736 3741 3834 4035 4239 4346 4455 4539 4558 4639 4640 4740 4840 5041 5743 6799","59 35","3254","0.00 0.00 0.00 0.00 0.03 0.00 0.00 0.00 0.96 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3254 3535 3561 4265","57 34","3561","0.01 0.00 0.99 0.00"
"4265","65 42","4265","0.99"
