"state_no_vec","z","z_true","pr_post"
"3537 3538 3539 3634 3635 3636 3637 3735 3736","37 34","3537","0.32 0.66 0.01 0.00 0.01 0.00 0.00 0.00 0.00"
"2835 2935 3137 3237 3238 3240 3336 3337 3338 3438 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3735 3736 3740 3741 3940 4447 4737","35 40","3634","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.22 0.01 0.08 0.25 0.06 0.03 0.01 0.00 0.00 0.14 0.17 0.00 0.00 0.00 0.00 0.00"
"3031 3137 3233 3238 3333 3337 3338 3438 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3726 3728 3730 3731 3734 3735 3736 3834 3835 3836 3935 4035 4136 4340 4440 4535 4540 4640 4737","30 36","3728","0.01 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.01 0.03 0.00 0.17 0.04 0.02 0.03 0.00 0.00 0.00 0.02 0.03 0.10 0.09 0.06 0.02 0.12 0.01 0.11 0.01 0.02 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00"
"2330 2528 2628 3031 3233 3235 3333 3335 3432 3534 3537 3538 3539 3634 3635 3636 3637 3638 3639 3725 3726 3728 3734 3735 3736 3737 3834 3835 3836 3927 3935 4028 4035 4135 4136 4137 4138 4236 4335 4340 4435 4440 4535 4540 4640 4735","27 44","3927","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.26 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.15 0.00 0.52 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3634 3834 3835 3927 3935 4028 4035 4128 4420 4515 4516 4735","24 39","3927","0.00 0.02 0.00 0.35 0.00 0.12 0.00 0.47 0.03 0.01 0.01 0.00"
"3636 3834 3927 4034 4035 4128 4420 4515 4516 4714 5612 5912","25 45","4128","0.00 0.06 0.08 0.01 0.15 0.68 0.01 0.00 0.00 0.01 0.00 0.00"
"3635 3636 3735 3738 3834 3835 3927 3935 4035 4128 4135 4136 4137 4138 4335 4435 4714 4735 5612 6212 6312","9 49","4714","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00"
"6212 6312","11 62","6212","0.80 0.20"
"4914 6816 7513","12 73","7513","0.00 0.00 1.00"
"8212 8824","10 81","8212","1.00 0.00"
"9205","5 92","9205","1.00"
"9606","6 96","9606","1.00"
"9714","14 97","9714","1.00"
"9815","15 98","9815","1.00"
"9814","14 98","9814","1.00"
"9214 9814","13 97","9814","0.00 1.00"
"9214 9814","13 97","9814","0.00 1.00"
"9214 9814","13 98","9814","0.00 1.00"
"9214 9814","13 92","9214","1.00 0.00"
"8711","11 87","8711","1.00"
"8111","11 81","8111","1.00"
"7816","16 78","7816","1.00"
"7422","22 74","7422","1.00"
"6626","26 66","6626","1.00"
"5426 5526","25 55","5526","0.00 1.00"
"4833 4834 5619","35 47","4834","0.00 1.00 0.00"
"4635 4735 4737 4834 4835 4935","34 46","4635","0.94 0.06 0.00 0.01 0.00 0.00"
"4135 4136 4236 4335 4634 4635 4735 4736 4737 4832 4934 4935 5028 5034 5126 5426","38 37","4135","0.30 0.63 0.00 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3634 3834 3835 3935 4137 4138 4239 4340 4440 4635 4735","31 39","3634","0.04 0.83 0.08 0.01 0.00 0.00 0.00 0.00 0.00 0.03 0.00"
"3537 3634 3635 3636 3637 3726 3734 3736 3737 3738 3834 3835 3935 4035 4135 4136 4138 4335 4634 4635 4736 4832","33 35","3634","0.00 0.17 0.21 0.19 0.02 0.00 0.02 0.00 0.00 0.02 0.21 0.09 0.04 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
