"state_no_vec","z","z_true","pr_post"
"1170 1219 1221 1270","20 24","1270","0.0393 0.0590 0.1989 0.7027"
"1120 1169 1171 1219 1220 1221 1222 1268 1269 1270 1271 1320 1418","13 21","1270","0.0407 0.0102 0.0077 0.0443 0.3950 0.0090 0.0201 0.0080 0.1178 0.0065 0.3199 0.0140 0.0070"
"1070 1168 1169 1170 1218 1219 1220 1221 1222 1223 1267 1268 1269 1270 1271 1272 1318 1319 1321 1368 1468","24 26","1271","0.0110 0.0037 0.0025 0.0310 0.0016 0.0680 0.0162 0.1796 0.0063 0.0127 0.0014 0.0159 0.0223 0.5580 0.0096 0.0196 0.0013 0.0043 0.0290 0.0031 0.0030"
"1069 1119 1120 1167 1168 1169 1170 1171 1217 1218 1219 1220 1221 1222 1223 1224 1267 1268 1269 1270 1271 1272 1273 1318 1319 1320 1322 1371 1418 1467 1516 1518","25 11","1270","0.0071 0.0033 0.0267 0.0018 0.0017 0.0084 0.0008 0.0075 0.0006 0.0048 0.0358 0.2819 0.0182 0.0356 0.0031 0.0036 0.0037 0.0101 0.0852 0.0292 0.3691 0.0004 0.0113 0.0037 0.0009 0.0214 0.0089 0.0079 0.0065 0.0005 0.0002 0.0003"
"1019 1070 1120 1166 1167 1168 1169 1170 1171 1174 1217 1218 1219 1220 1221 1222 1223 1224 1225 1267 1268 1269 1270 1271 1272 1273 1318 1319 1320 1321 1323 1368 1372 1418 1421 1468 1517","22 28","1220","0.0020 0.0116 0.0004 0.0010 0.0005 0.0038 0.0030 0.0243 0.0006 0.0018 0.0003 0.0027 0.0560 0.0274 0.1828 0.0084 0.0194 0.0008 0.0038 0.0025 0.0199 0.0221 0.4755 0.0265 0.0278 0.0012 0.0019 0.0040 0.0009 0.0362 0.0052 0.0044 0.0044 0.0004 0.0121 0.0043 0.0005"
"1018 1069 1119 1120 1124 1165 1166 1167 1168 1169 1170 1171 1174 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1267 1268 1269 1270 1271 1272 1273 1318 1319 1320 1321 1322 1323 1368 1371 1373 1418 1422 1467 1516 1518","68 26","1221","0.0007 0.0059 0.0026 0.0174 0.0027 0.0003 0.0003 0.0014 0.0016 0.0060 0.0016 0.0068 0.0006 0.0003 0.0006 0.0052 0.0297 0.2301 0.0254 0.0417 0.0050 0.0098 0.0010 0.0041 0.0100 0.0700 0.0474 0.3544 0.0015 0.0275 0.0047 0.0010 0.0234 0.0015 0.0173 0.0005 0.0006 0.0124 0.0022 0.0075 0.0151 0.0011 0.0005 0.0005"
"968 1019 1070 1120 1123 1124 1166 1167 1168 1169 1170 1171 1174 1217 1218 1219 1220 1221 1222 1223 1224 1225 1266 1267 1268 1269 1270 1271 1272 1273 1317 1318 1319 1320 1321 1322 1323 1368 1371 1372 1418 1421 1468 1472 1515 1517 1522","23 15","1222","0.0005 0.0046 0.0155 0.0012 0.0035 0.0008 0.0014 0.0008 0.0042 0.0037 0.0249 0.0010 0.0059 0.0004 0.0035 0.0565 0.0376 0.1903 0.0103 0.0247 0.0019 0.0104 0.0005 0.0029 0.0196 0.0210 0.4018 0.0366 0.0310 0.0027 0.0004 0.0019 0.0030 0.0016 0.0282 0.0005 0.0104 0.0039 0.0004 0.0099 0.0007 0.0117 0.0031 0.0021 0.0001 0.0005 0.0019"
"918 1018 1069 1070 1073 1119 1120 1123 1124 1165 1166 1167 1168 1169 1170 1171 1174 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1267 1268 1269 1270 1271 1272 1273 1318 1319 1320 1321 1322 1323 1368 1371 1373 1418 1421 1422 1467 1468 1471 1472 1516 1518 1520 1521 1522 1523","59 48","1223","0.0002 0.0017 0.0077 0.0005 0.0040 0.0031 0.0164 0.0010 0.0076 0.0004 0.0005 0.0014 0.0018 0.0057 0.0024 0.0065 0.0013 0.0006 0.0005 0.0050 0.0266 0.2004 0.0295 0.0441 0.0061 0.0156 0.0021 0.0044 0.0109 0.0642 0.0611 0.3248 0.0027 0.0394 0.0050 0.0010 0.0201 0.0026 0.0192 0.0012 0.0008 0.0106 0.0047 0.0073 0.0005 0.0201 0.0010 0.0003 0.0021 0.0007 0.0006 0.0005 0.0003 0.0003 0.0004 0.0004"
"968 1019 1069 1070 1072 1073 1115 1120 1123 1124 1165 1166 1167 1168 1169 1170 1171 1174 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1266 1267 1268 1269 1270 1271 1272 1273 1317 1318 1319 1320 1321 1322 1323 1368 1371 1372 1373 1418 1421 1422 1468 1471 1472 1515 1517 1521 1522 1524","7 30","1224","0.0009 0.0047 0.0003 0.0117 0.0033 0.0007 0.0003 0.0016 0.0059 0.0009 0.0004 0.0022 0.0012 0.0047 0.0036 0.0209 0.0010 0.0055 0.0003 0.0004 0.0006 0.0049 0.0594 0.0433 0.1550 0.0089 0.0197 0.0018 0.0091 0.0012 0.0050 0.0268 0.0259 0.3889 0.0433 0.0282 0.0034 0.0007 0.0033 0.0039 0.0026 0.0254 0.0007 0.0138 0.0066 0.0008 0.0124 0.0003 0.0017 0.0138 0.0006 0.0058 0.0007 0.0043 0.0005 0.0013 0.0009 0.0041 0.0001"
"918 1018 1022 1069 1070 1072 1073 1119 1120 1123 1124 1165 1166 1167 1168 1169 1170 1171 1174 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1266 1267 1268 1269 1270 1271 1272 1273 1316 1317 1318 1319 1320 1321 1322 1323 1368 1371 1372 1373 1418 1421 1422 1467 1468 1471 1472 1514 1516 1518 1520 1521 1522 1523","49 14","1225","0.0004 0.0020 0.0036 0.0067 0.0008 0.0008 0.0071 0.0024 0.0142 0.0011 0.0074 0.0008 0.0008 0.0016 0.0019 0.0063 0.0029 0.0055 0.0012 0.0012 0.0008 0.0070 0.0293 0.1900 0.0322 0.0365 0.0056 0.0133 0.0023 0.0005 0.0061 0.0143 0.0660 0.0693 0.2974 0.0033 0.0386 0.0003 0.0002 0.0073 0.0014 0.0185 0.0038 0.0198 0.0019 0.0015 0.0092 0.0006 0.0061 0.0086 0.0010 0.0233 0.0018 0.0007 0.0046 0.0019 0.0001 0.0012 0.0008 0.0008 0.0010 0.0013 0.0009"
