"state_no_vec","z","z_true","pr_post"
"1170 1171 1220 1222 1223 1271","23 24","1271","0.0160 0.0847 0.5349 0.0593 0.0137 0.2913"
"1169 1170 1171 1172 1219 1220 1221 1223 1270 1271 1272 1273 1321","19 20","1220","0.0029 0.0575 0.0173 0.0051 0.0290 0.0145 0.7434 0.0078 0.0896 0.0063 0.0119 0.0065 0.0081"
"1119 1168 1169 1170 1171 1172 1218 1219 1220 1221 1222 1223 1269 1270 1271 1273 1320 1322 1323 1324 1371","12 21","1221","0.0012 0.0016 0.0140 0.0258 0.0800 0.0005 0.0196 0.0010 0.5523 0.0386 0.0239 0.0043 0.0112 0.0034 0.1951 0.0045 0.0142 0.0028 0.0018 0.0008 0.0036"
"1069 1119 1167 1168 1169 1170 1171 1172 1217 1219 1220 1221 1222 1223 1268 1270 1271 1272 1273 1274 1319 1320 1321 1323 1324 1421","12 5","1220","0.0010 0.0077 0.0013 0.0109 0.0063 0.0503 0.0224 0.0037 0.0055 0.0409 0.0451 0.6336 0.0014 0.0039 0.0103 0.1070 0.0118 0.0122 0.0030 0.0003 0.0034 0.0004 0.0117 0.0014 0.0009 0.0036"
"1069 1119 1166 1167 1168 1169 1170 1171 1172 1217 1218 1219 1220 1221 1222 1223 1267 1269 1270 1271 1272 1273 1274 1319 1320 1321 1322 1323 1324 1371 1422","26 24","1221","0.0030 0.0029 0.0004 0.0069 0.0019 0.0184 0.0286 0.0977 0.0013 0.0002 0.0187 0.0020 0.4444 0.0808 0.0371 0.0086 0.0011 0.0099 0.0073 0.1908 0.0006 0.0072 0.0010 0.0014 0.0133 0.0007 0.0036 0.0018 0.0017 0.0048 0.0020"
"1069 1117 1119 1166 1167 1168 1169 1170 1171 1172 1217 1218 1219 1220 1221 1222 1223 1266 1268 1269 1270 1271 1272 1273 1274 1275 1319 1320 1321 1323 1324 1372 1421","11 50","1220","0.0010 0.0005 0.0081 0.0049 0.0018 0.0105 0.0061 0.0380 0.0192 0.0031 0.0096 0.0015 0.0333 0.0744 0.5383 0.0029 0.0056 0.0013 0.0142 0.0018 0.1203 0.0297 0.0172 0.0063 0.0009 0.0004 0.0053 0.0025 0.0197 0.0037 0.0025 0.0005 0.0148"
"1069 1119 1165 1166 1167 1168 1169 1170 1171 1172 1216 1217 1218 1219 1220 1221 1222 1223 1267 1268 1269 1270 1271 1272 1273 1274 1275 1319 1320 1321 1322 1323 1324 1371 1421 1422 1471","22 25","1221","0.0027 0.0024 0.0007 0.0006 0.0103 0.0020 0.0149 0.0229 0.0674 0.0008 0.0018 0.0007 0.0211 0.0042 0.3938 0.1138 0.0293 0.0060 0.0029 0.0007 0.0128 0.0171 0.1932 0.0022 0.0101 0.0017 0.0004 0.0030 0.0200 0.0025 0.0070 0.0044 0.0035 0.0111 0.0006 0.0107 0.0009"
"1069 1117 1119 1165 1166 1167 1168 1169 1170 1171 1172 1215 1217 1218 1219 1220 1221 1222 1223 1266 1268 1269 1270 1271 1272 1273 1274 1275 1276 1319 1320 1321 1322 1323 1324 1371 1372 1421 1422 1472 1622","52 34","1271","0.0009 0.0005 0.0065 0.0002 0.0044 0.0013 0.0068 0.0047 0.0329 0.0244 0.0032 0.0003 0.0062 0.0026 0.0238 0.0862 0.5222 0.0057 0.0085 0.0015 0.0088 0.0027 0.0935 0.0392 0.0238 0.0091 0.0032 0.0013 0.0007 0.0042 0.0041 0.0211 0.0008 0.0068 0.0062 0.0015 0.0025 0.0254 0.0006 0.0006 0.0014"
"1069 1116 1119 1165 1166 1167 1168 1169 1170 1171 1172 1216 1217 1218 1219 1220 1221 1222 1223 1267 1268 1269 1270 1271 1272 1273 1274 1275 1276 1277 1319 1320 1321 1322 1323 1324 1371 1421 1422 1471 1572","23 31","1221","0.0023 0.0003 0.0021 0.0007 0.0005 0.0078 0.0018 0.0117 0.0222 0.0618 0.0010 0.0020 0.0009 0.0152 0.0054 0.3625 0.1326 0.0271 0.0063 0.0022 0.0012 0.0100 0.0212 0.1724 0.0039 0.0142 0.0041 0.0015 0.0011 0.0006 0.0028 0.0177 0.0043 0.0113 0.0067 0.0063 0.0165 0.0034 0.0289 0.0032 0.0025"
"1069 1115 1117 1119 1165 1166 1167 1168 1169 1170 1171 1172 1215 1217 1218 1219 1220 1221 1222 1223 1266 1267 1268 1269 1270 1271 1272 1273 1274 1275 1276 1277 1319 1320 1321 1322 1323 1324 1371 1372 1421 1422 1471 1472 1522 1622","24 46","1271","0.0008 0.0003 0.0008 0.0057 0.0004 0.0054 0.0018 0.0068 0.0051 0.0304 0.0224 0.0023 0.0005 0.0066 0.0044 0.0254 0.1038 0.4427 0.0057 0.0066 0.0020 0.0003 0.0090 0.0037 0.0951 0.0448 0.0229 0.0087 0.0037 0.0017 0.0012 0.0008 0.0046 0.0054 0.0220 0.0012 0.0081 0.0070 0.0031 0.0064 0.0544 0.0035 0.0005 0.0024 0.0042 0.0054"
