"state_no_vec","z","z_true","pr_post"
"1033 1036","35 20","1036","0.2848 0.7152"
"1035 1086 1132","33 20","1132","0.5214 0.2221 0.2565"
"1033 1036 1137 1182","36 21","1182","0.2240 0.3207 0.2713 0.1840"
"1035 1086 1087 1132 1138 1181","31 20","1181","0.1970 0.1532 0.1097 0.2966 0.0723 0.1712"
"1033 1036 1088 1137 1179 1182 1232","67 1","1232","0.1243 0.3169 0.0517 0.2109 0.0479 0.2003 0.0479"
"1035 1086 1087 1089 1132 1138 1180 1181 1336","15 25","1336","0.1398 0.1360 0.0796 0.0151 0.1649 0.0807 0.0761 0.2798 0.0280"
"1033 1036 1040 1088 1137 1179 1181 1182 1186 1230 1232 1285 1386","47 23","1386","0.0557 0.1644 0.0128 0.0585 0.2442 0.0871 0.0294 0.1418 0.0100 0.0280 0.1279 0.0188 0.0214"
"990 991 1035 1086 1087 1089 1132 1134 1138 1179 1180 1181 1187 1229 1232 1236 1284 1336","22 32","1336","0.0034 0.0016 0.0582 0.0633 0.0910 0.0204 0.0553 0.0087 0.1227 0.0181 0.1211 0.1641 0.0077 0.0196 0.0185 0.0055 0.0125 0.2083"
"941 1033 1036 1040 1088 1133 1135 1137 1179 1180 1181 1182 1186 1230 1232 1235 1285 1336 1386","50 21","1386","0.0044 0.0205 0.1171 0.0231 0.0789 0.0035 0.0043 0.1532 0.0453 0.0111 0.0414 0.0517 0.0119 0.0523 0.0665 0.0105 0.1240 0.0260 0.1542"
"940 990 991 1035 1086 1087 1089 1132 1134 1138 1179 1180 1181 1186 1187 1229 1230 1232 1236 1284 1285 1336 1382 1386","34 20","1386","0.0019 0.0128 0.0050 0.0884 0.0745 0.0878 0.0366 0.0272 0.0846 0.1121 0.0217 0.0792 0.0673 0.0043 0.0109 0.0258 0.0058 0.0224 0.0052 0.0534 0.0148 0.1469 0.0038 0.0076"
"941 1033 1036 1039 1040 1088 1133 1134 1135 1137 1179 1180 1181 1182 1186 1187 1229 1230 1232 1235 1236 1284 1285 1333 1336 1380 1386","41 25","1386","0.0111 0.0307 0.1168 0.0029 0.0335 0.0650 0.0349 0.0068 0.0428 0.1556 0.0192 0.0156 0.0280 0.0634 0.0222 0.0028 0.0018 0.0442 0.0282 0.0123 0.0028 0.0082 0.0903 0.0020 0.0436 0.0016 0.1138"
