"state_no_vec","z","z_true","pr_post"
"1219","19 24","1219","1.0000"
"1169 1220 1269","21 27","1269","0.1229 0.5011 0.3760"
"1168 1170 1215 1219 1221 1270","30 26","1270","0.0202 0.0390 0.0085 0.6082 0.0764 0.2476"
"1167 1169 1214 1216 1219 1220 1264 1269 1271","15 22","1271","0.0249 0.2826 0.0024 0.0048 0.0145 0.3957 0.0014 0.1377 0.1360"
"1166 1168 1169 1170 1215 1217 1219 1220 1221 1263 1264 1266 1269 1270","5 27","1220","0.0058 0.0627 0.0027 0.0853 0.0584 0.0028 0.4127 0.0502 0.0435 0.0018 0.0015 0.0041 0.0059 0.2625"
"1165 1167 1168 1169 1170 1214 1216 1219 1220 1221 1262 1263 1264 1267 1269 1270 1271","1 37","1219","0.0031 0.0222 0.0004 0.0859 0.0006 0.0136 0.0255 0.0523 0.2837 0.0055 0.0013 0.0015 0.0217 0.0059 0.1981 0.0271 0.2516"
"1115 1166 1168 1169 1170 1214 1215 1217 1219 1220 1221 1262 1263 1264 1266 1268 1269 1270 1271","32 13","1169","0.0045 0.0087 0.0418 0.0198 0.0539 0.0060 0.0241 0.0120 0.3699 0.1316 0.0416 0.0004 0.0086 0.0029 0.0086 0.0044 0.0139 0.2304 0.0169"
"1114 1165 1167 1168 1169 1170 1214 1215 1216 1218 1219 1220 1221 1262 1263 1264 1267 1269 1270 1271","28 22","1168","0.0027 0.0060 0.0243 0.0055 0.1548 0.0103 0.0057 0.0047 0.0091 0.0041 0.1027 0.3239 0.0205 0.0020 0.0011 0.0057 0.0065 0.1062 0.0549 0.1493"
"1064 1115 1166 1167 1168 1169 1170 1214 1215 1216 1217 1219 1220 1221 1261 1263 1264 1266 1268 1269 1270 1271","35 22","1167","0.0016 0.0041 0.0061 0.0031 0.0481 0.0332 0.0746 0.0021 0.0232 0.0018 0.0038 0.2967 0.1334 0.0486 0.0004 0.0025 0.0019 0.0032 0.0066 0.0313 0.2212 0.0526"
"1014 1114 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1262 1263 1264 1266 1267 1269 1270 1271","41 26","1215","0.0007 0.0020 0.0035 0.0007 0.0230 0.0084 0.1107 0.0142 0.0038 0.0043 0.0078 0.0007 0.0055 0.1193 0.2838 0.0195 0.0007 0.0006 0.0040 0.0006 0.0025 0.0967 0.0929 0.1943"
"1013 1015 1064 1115 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1219 1220 1221 1263 1264 1266 1267 1268 1269 1270 1271","4 15","1264","0.0008 0.0006 0.0040 0.0057 0.0009 0.0103 0.0075 0.0489 0.0439 0.0460 0.0028 0.0285 0.0023 0.0043 0.2881 0.1585 0.0303 0.0027 0.0022 0.0035 0.0006 0.0039 0.0357 0.2118 0.0564"
"1014 1016 1114 1115 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1262 1263 1264 1266 1267 1269 1270 1271","18 16","1263","0.0085 0.0014 0.0086 0.0013 0.0127 0.0031 0.0403 0.0186 0.1395 0.0233 0.0087 0.0108 0.0144 0.0012 0.0039 0.1384 0.2586 0.0201 0.0011 0.0012 0.0072 0.0010 0.0029 0.0797 0.0805 0.1130"
"1013 1015 1017 1064 1114 1115 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1219 1220 1221 1262 1263 1264 1266 1267 1268 1269 1270 1271","19 48","1262","0.0019 0.0019 0.0006 0.0046 0.0009 0.0084 0.0025 0.0108 0.0100 0.0429 0.0419 0.0481 0.0053 0.0385 0.0053 0.0071 0.2352 0.1386 0.0318 0.0007 0.0065 0.0071 0.0087 0.0012 0.0050 0.0554 0.2069 0.0724"
"1014 1016 1063 1064 1114 1115 1117 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1262 1263 1264 1266 1267 1268 1269 1270 1271","41 24","1271","0.0028 0.0012 0.0004 0.0004 0.0044 0.0015 0.0005 0.0065 0.0023 0.0216 0.0129 0.0945 0.0189 0.0076 0.0080 0.0134 0.0021 0.0044 0.1423 0.2576 0.0210 0.0015 0.0026 0.0074 0.0019 0.0069 0.0010 0.0774 0.1106 0.1667"
"1013 1015 1017 1064 1114 1115 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","32 19","1271","0.0012 0.0012 0.0013 0.0036 0.0011 0.0054 0.0017 0.0059 0.0082 0.0338 0.0548 0.0480 0.0032 0.0177 0.0030 0.0055 0.0009 0.2263 0.1885 0.0382 0.0003 0.0006 0.0030 0.0030 0.0046 0.0014 0.0069 0.0428 0.2054 0.0826"
"1014 1016 1063 1064 1114 1115 1117 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1262 1263 1264 1266 1267 1268 1269 1270 1271","21 -3","1271","0.0094 0.0028 0.0011 0.0020 0.0082 0.0026 0.0019 0.0074 0.0034 0.0280 0.0228 0.1157 0.0292 0.0063 0.0129 0.0090 0.0015 0.0070 0.1643 0.2408 0.0240 0.0014 0.0019 0.0052 0.0013 0.0038 0.0014 0.0628 0.1047 0.1173"
"1013 1014 1015 1017 1064 1114 1115 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","15 23","1271","0.0040 0.0015 0.0035 0.0021 0.0075 0.0029 0.0083 0.0047 0.0127 0.0213 0.0479 0.0647 0.0468 0.0075 0.0439 0.0091 0.0057 0.0017 0.2234 0.1576 0.0257 0.0007 0.0010 0.0048 0.0069 0.0054 0.0015 0.0068 0.0549 0.1529 0.0626"
"1013 1014 1015 1016 1063 1064 1114 1115 1117 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1262 1263 1264 1266 1267 1268 1269 1270 1271","17 26","1271","0.0004 0.0045 0.0004 0.0017 0.0011 0.0017 0.0059 0.0033 0.0015 0.0109 0.0061 0.0276 0.0221 0.0836 0.0240 0.0153 0.0225 0.0232 0.0048 0.0072 0.1683 0.1992 0.0177 0.0025 0.0052 0.0166 0.0059 0.0069 0.0026 0.0913 0.1125 0.1038"
"1013 1014 1015 1017 1062 1064 1114 1115 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","-3 34","1271","0.0030 0.0020 0.0022 0.0013 0.0007 0.0068 0.0042 0.0126 0.0077 0.0106 0.0171 0.0319 0.0572 0.0288 0.0189 0.0434 0.0142 0.0134 0.0028 0.2077 0.1462 0.0200 0.0027 0.0052 0.0224 0.0200 0.0161 0.0074 0.0108 0.0592 0.1386 0.0650"
"1013 1014 1015 1016 1063 1064 1114 1115 1117 1165 1166 1167 1168 1169 1170 1214 1215 1216 1217 1218 1219 1220 1221 1259 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","-2 16","1271","0.0020 0.0154 0.0017 0.0034 0.0036 0.0073 0.0206 0.0116 0.0017 0.0149 0.0074 0.0253 0.0241 0.0895 0.0227 0.0330 0.0348 0.0262 0.0079 0.0110 0.1429 0.1590 0.0145 0.0023 0.0044 0.0198 0.0231 0.0304 0.0080 0.0167 0.0080 0.0609 0.0795 0.0665"
"1013 1014 1015 1016 1017 1062 1063 1064 1114 1115 1165 1166 1167 1168 1169 1170 1208 1209 1214 1215 1216 1217 1218 1219 1220 1221 1259 1260 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","37 29","1271","0.0047 0.0043 0.0043 0.0010 0.0022 0.0009 0.0005 0.0118 0.0073 0.0100 0.0054 0.0066 0.0150 0.0308 0.0598 0.0399 0.0004 0.0004 0.0183 0.0346 0.0149 0.0121 0.0079 0.1782 0.1440 0.0242 0.0013 0.0005 0.0065 0.0097 0.0229 0.0207 0.0123 0.0081 0.0220 0.0551 0.1290 0.0723"
"1013 1014 1015 1016 1017 1061 1063 1064 1114 1115 1117 1165 1166 1167 1168 1169 1170 1208 1209 1214 1215 1216 1217 1218 1219 1220 1221 1259 1260 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","5 20","1271","0.0044 0.0239 0.0034 0.0063 0.0014 0.0009 0.0050 0.0123 0.0157 0.0079 0.0028 0.0090 0.0063 0.0242 0.0243 0.0851 0.0244 0.0008 0.0009 0.0284 0.0325 0.0204 0.0082 0.0225 0.1470 0.1537 0.0149 0.0042 0.0005 0.0066 0.0181 0.0230 0.0245 0.0080 0.0124 0.0102 0.0527 0.0845 0.0683"
"1013 1014 1015 1016 1017 1062 1063 1064 1111 1114 1115 1117 1165 1166 1167 1168 1169 1170 1208 1209 1214 1215 1216 1217 1218 1219 1220 1221 1259 1260 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","34 30","1271","0.0071 0.0076 0.0068 0.0021 0.0041 0.0013 0.0012 0.0091 0.0005 0.0050 0.0061 0.0011 0.0047 0.0064 0.0161 0.0294 0.0620 0.0381 0.0008 0.0010 0.0165 0.0315 0.0140 0.0094 0.0101 0.1753 0.1505 0.0235 0.0021 0.0009 0.0063 0.0105 0.0193 0.0191 0.0096 0.0080 0.0216 0.0569 0.1285 0.0763"
"1013 1014 1015 1016 1017 1061 1062 1063 1064 1114 1115 1117 1160 1165 1166 1167 1168 1169 1170 1208 1209 1214 1215 1216 1217 1218 1219 1220 1221 1259 1260 1261 1262 1263 1264 1266 1267 1268 1269 1270 1271","-9 38","1271","0.0028 0.0079 0.0024 0.0043 0.0013 0.0005 0.0005 0.0032 0.0038 0.0057 0.0044 0.0038 0.0004 0.0073 0.0060 0.0215 0.0222 0.0702 0.0220 0.0014 0.0016 0.0267 0.0331 0.0191 0.0079 0.0224 0.1547 0.1540 0.0155 0.0060 0.0012 0.0105 0.0220 0.0297 0.0278 0.0092 0.0117 0.0128 0.0608 0.1034 0.0783"
