"state_no_vec","z","z_true","pr_post"
"132 158 183 184 185 209 233 234 235","8 9","209","0.00 0.00 0.00 0.00 0.00 0.45 0.03 0.52 0.00"
"132 183 184 185 208 209 232 233 234 235 258 260 285","8 11","233","0.00 0.00 0.00 0.00 0.00 0.05 0.13 0.35 0.16 0.01 0.14 0.01 0.14"
"182 208 209 231 232 233 234 235 257 258 259 260 283 284 285 287 310 335","5 6","232","0.05 0.05 0.10 0.26 0.03 0.35 0.07 0.00 0.05 0.03 0.01 0.00 0.01 0.00 0.00 0.00 0.00 0.00"
"132 157 182 208 209 231 232 233 234 235 236 257 258 259 278 279 280 283 284 285","6 8","231","0.00 0.00 0.00 0.18 0.09 0.23 0.02 0.26 0.04 0.00 0.00 0.15 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"132 157 182 208 209 231 232 233 234 235 236 257 258 259 278 279 280 283 285","6 8","231","0.00 0.00 0.00 0.16 0.08 0.18 0.02 0.32 0.03 0.00 0.00 0.18 0.03 0.00 0.00 0.00 0.00 0.00 0.00"
"157 182 208 209 231 232 233 234 235 236 257 258 259 278 279 280 283 353","7 9","257","0.00 0.00 0.03 0.05 0.01 0.00 0.41 0.10 0.00 0.00 0.26 0.13 0.01 0.00 0.00 0.00 0.00 0.00"
"157 182 208 209 231 232 233 234 235 236 257 258 259 278 279 280 283 285 353","3 10","278","0.00 0.00 0.00 0.01 0.03 0.00 0.06 0.01 0.00 0.00 0.00 0.01 0.00 0.62 0.19 0.07 0.00 0.00 0.00"
"208 209 231 233 234 257 258 259 283 353 378","4 13","378","0.00 0.00 0.00 0.00 0.00 0.00 0.05 0.00 0.00 0.21 0.73"
"233 259 278 283 303 352 378 380 428 429 453","10 11","453","0.05 0.56 0.00 0.25 0.00 0.00 0.01 0.11 0.00 0.02 0.01"
"209 233 234 258 259 260 281 283 284 285 306 307 308 331 353 377 378 429 478 503 556","2 19","503","0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.03 0.03 0.03 0.00 0.37 0.16 0.33 0.00"
