"state_no_vec","z","z_true","pr_post"
"1019 1068 1069 1119","18 19","1019","0.99 0.00 0.01 0.00"
"1019 1068 1069 1119","18 22","1119","0.00 0.00 0.08 0.92"
"1068 1069 1118 1119 1120 1168 1169 1170","18 21","1119","0.00 0.02 0.00 0.98 0.00 0.00 0.00 0.00"
"1068 1069 1118 1119 1120 1168 1169 1170","18 21","1119","0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00"
"1068 1069 1118 1119 1120 1168 1169 1170","19 22","1119","0.00 0.00 0.00 0.99 0.00 0.00 0.01 0.00"
"1068 1069 1118 1119 1120 1168 1169 1170","18 21","1119","0.00 0.01 0.00 0.98 0.00 0.00 0.00 0.00"
"1068 1069 1118 1119 1120 1168 1169 1170","19 22","1169","0.00 0.00 0.00 0.46 0.00 0.00 0.54 0.00"
"1068 1069 1117 1118 1119 1120 1167 1168 1169 1170 1171 1172 1174 1219","16 22","1167","0.00 0.00 0.07 0.04 0.44 0.00 0.05 0.06 0.32 0.02 0.00 0.00 0.00 0.00"
"1068 1069 1116 1117 1118 1119 1120 1166 1167 1168 1169 1170 1171 1172 1174 1216 1217 1219 1220 1268","15 21","1116","0.07 0.07 0.11 0.36 0.07 0.28 0.00 0.00 0.01 0.01 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"1067 1068 1069 1115 1116 1117 1118 1119 1120 1165 1167 1168 1169 1170 1217","14 23","1165","0.00 0.00 0.00 0.01 0.00 0.03 0.00 0.00 0.00 0.91 0.03 0.00 0.00 0.00 0.00"
"1068 1114 1116 1117 1118 1119 1165 1167 1168 1169 1214 1215 1217 1263 1313 1363","14 23","1165","0.00 0.00 0.00 0.00 0.00 0.00 0.67 0.01 0.00 0.00 0.24 0.00 0.00 0.06 0.01 0.00"
"1115 1117 1165 1167 1168 1214 1216 1263 1313 1363 1413","15 21","1165","0.01 0.00 0.90 0.01 0.00 0.06 0.00 0.01 0.01 0.00 0.00"
"1068 1116 1117 1165 1167 1214 1215 1216 1263 1313 1363 1413","13 27","1363","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.83 0.12"
"1215 1216 1263 1264 1313 1413 1463 1509 1510 1511 1513","12 28","1463","0.00 0.00 0.00 0.00 0.00 0.81 0.16 0.00 0.00 0.02 0.00"
"1263 1264 1313 1507 1509 1510 1511 1513 1606 1656","6 31","1507","0.00 0.00 0.00 0.66 0.08 0.02 0.00 0.00 0.23 0.01"
"1556 1656 1907 1957","6 33","1556","0.98 0.00 0.02 0.00"
"1805 2212","4 35","1805","1.00 0.00"
"2060","10 41","2060","1.00"
"2363","13 47","2363","1.00"
"2416","16 48","2416","1.00"
"2315 2365 2416","15 47","2416","0.00 0.07 0.93"
"2162 2264 2315 2365 2416","15 47","2416","0.00 0.00 0.00 0.07 0.93"
"2162 2264 2315 2365 2416","14 45","2315","0.00 0.02 0.98 0.00 0.00"
"2164 2165 2214 2264","13 45","2264","0.00 0.00 0.00 1.00"
"2164 2165 2214","14 43","2165","0.00 0.97 0.03"
"1964 2114","13 38","1964","1.00 0.00"
"1663","13 33","1663","1.00"
"1413","13 28","1413","1.00"
"1263 1264 1313 1509 1510 1511 1513","13 25","1264","0.07 0.56 0.37 0.00 0.00 0.00 0.00"
"1216 1413","15 24","1216","1.00 0.00"
"1116 1117 1166","16 22","1117","0.00 1.00 0.00"
"1067 1068 1116 1117 1118 1119 1167 1168 1169 1217","19 22","1169","0.00 0.00 0.00 0.04 0.03 0.06 0.00 0.05 0.82 0.00"
"1068 1069 1117 1118 1119 1167 1168 1169 1170 1171 1172 1174 1219 1220","20 21","1119","0.00 0.01 0.01 0.02 0.84 0.00 0.00 0.05 0.04 0.01 0.01 0.00 0.00 0.00"
"1068 1069 1117 1118 1119 1120 1167 1168 1169 1170 1171 1173 1176 1177 1178 1217 1219 1220 1270","19 21","1119","0.02 0.18 0.00 0.02 0.75 0.01 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"1019 1068 1069 1070 1117 1118 1119 1120 1168 1169 1170","18 22","1119","0.00 0.01 0.04 0.00 0.00 0.03 0.91 0.00 0.00 0.01 0.00"
"1068 1069 1117 1118 1119 1120 1168 1169 1170","20 21","1069","0.00 0.16 0.00 0.00 0.63 0.21 0.00 0.00 0.00"
"1068 1069 1070 1118 1119 1120 1168 1169 1170","20 22","1170","0.00 0.01 0.00 0.00 0.25 0.32 0.00 0.02 0.40"
