"state_no_vec","z","z_true","pr_post"
"1115 1165 1167 1169 1216 1217 1218 1220 1266 1267 1268 1270 1316 1317 1318 1366 1367 1534 1622 1783","18 26","1266","0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.59 0.28 0.01 0.01 0.04 0.01 0.03 0.00 0.00 0.00 0.00 0.00"
"1115 1165 1167 1169 1216 1217 1218 1219 1220 1266 1267 1268 1269 1270 1316 1317 1318 1366 1367 1368 1534 1622 1783","14 23","1266","0.00 0.00 0.00 0.00 0.04 0.01 0.00 0.00 0.00 0.55 0.33 0.02 0.00 0.01 0.01 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00"
"1115 1165 1167 1168 1169 1216 1217 1218 1219 1220 1266 1267 1268 1269 1270 1316 1317 1318 1366 1367 1368 1534 1622 1783","21 24","1220","0.00 0.00 0.01 0.01 0.02 0.02 0.03 0.02 0.09 0.06 0.16 0.24 0.04 0.01 0.29 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00"
"778 1019 1069 1120 1166 1167 1168 1169 1170 1216 1217 1218 1219 1220 1266 1267 1268 1269 1270 1271 1316 1317 1318 1320 1367 1368 1418","22 22","1270","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.00 0.01 0.00 0.01 0.91 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"1069 1120 1169 1170 1218 1219 1220 1266 1267 1268 1269 1270 1271 1318 1320 1368","19 25","1270","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 0.00 0.00 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271","19 24","1270","0.00 0.02 0.10 0.00 0.00 0.01 0.87 0.00"
"1018 1019 1069 1120 1169 1170 1219 1220 1266 1267 1268 1269 1270 1271 1320","19 24","1270","0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.02 0.00 0.00 0.00 0.03 0.94 0.00 0.00"
"1170 1219 1220 1266 1267 1268 1269 1270 1271 1318 1320 1368","19 25","1270","0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.98 0.00 0.00 0.00 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271 1318 1320","19 24","1270","0.00 0.00 0.00 0.00 0.00 0.02 0.98 0.00 0.00 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271 1368","18 25","1270","0.00 0.01 0.00 0.00 0.00 0.04 0.95 0.00 0.00"
"1219 1220 1266 1267 1269 1270 1271 1318 1320 1368","19 25","1270","0.00 0.00 0.00 0.00 0.05 0.95 0.00 0.00 0.00 0.00"
"1219 1220 1266 1267 1269 1270 1271 1318 1320 1368","19 25","1270","0.00 0.00 0.00 0.00 0.01 0.99 0.00 0.00 0.00 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271","19 24","1270","0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","20 24","1270","0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","20 24","1270","0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1219 1220 1266 1269 1270 1271","18 25","1270","0.00 0.00 0.00 0.02 0.98 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271 1368","20 24","1270","0.00 0.00 0.07 0.00 0.00 0.00 0.92 0.00 0.00"
"1069 1120 1170 1219 1220 1266 1267 1268 1269 1270 1271 1320","20 25","1270","0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.99 0.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","20 24","1270","0.00 0.00 0.03 0.00 0.00 0.97 0.00"
"1069 1170 1219 1220 1266 1267 1269 1270 1271","19 25","1270","0.00 0.00 0.00 0.01 0.00 0.00 0.02 0.97 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271 1368","19 25","1270","0.00 0.00 0.00 0.00 0.00 0.01 0.98 0.00 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271","19 24","1270","0.00 0.00 0.00 0.00 0.00 0.01 0.98 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271","19 24","1270","0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00"
"1170 1219 1220 1266 1269 1270 1271","19 25","1270","0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","20 24","1270","0.00 0.01 0.33 0.00 0.00 0.66 0.00"
"1018 1019 1069 1070 1120 1169 1170 1219 1220 1266 1267 1269 1270 1320 1324 1384","20 25","1270","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.01 0.00 0.00 0.95 0.01 0.00 0.00"
"1069 1170 1219 1220 1266 1267 1268 1269 1270 1271 1320 1324","20 24","1270","0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.99 0.00 0.00 0.00"
"1170 1219 1220 1266 1269 1270 1271 1320","19 25","1270","0.00 0.00 0.00 0.00 0.01 0.99 0.00 0.00"
"1170 1219 1220 1266 1269 1270 1271 1320","20 24","1270","0.00 0.00 0.00 0.00 0.00 0.99 0.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","20 24","1270","0.00 0.00 0.00 0.00 0.00 0.99 0.01"
"1170 1219 1220 1266 1269 1270 1271","20 25","1270","0.00 0.00 0.00 0.00 0.00 0.99 0.01"
"1170 1219 1220 1266 1269 1270 1271","18 25","1270","0.00 0.00 0.00 0.00 0.01 0.99 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271","19 24","1270","0.00 0.00 0.00 0.00 0.00 0.01 0.99 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271","19 25","1270","0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","20 24","1270","0.00 0.00 0.00 0.00 0.00 0.99 0.00"
"1170 1219 1220 1266 1269 1270 1271","20 24","1270","0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","19 24","1270","0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","19 25","1270","0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","21 24","1270","0.00 0.00 0.00 0.00 0.00 0.98 0.02"
"1170 1219 1220 1223 1266 1267 1269 1270 1271 1273 1470","20 25","1270","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.98 0.02 0.00 0.00"
"1170 1219 1220 1266 1267 1269 1270 1271","19 24","1270","0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","19 24","1270","0.00 0.00 0.00 0.00 0.00 1.00 0.00"
"1170 1219 1220 1266 1269 1270 1271","19 22","1170","0.91 0.01 0.05 0.00 0.00 0.02 0.00"
"968 1018 1119 1120 1121 1167 1168 1169 1170 1171 1219 1220 1266 1270","22 18","1170","0.00 0.00 0.02 0.06 0.10 0.00 0.00 0.02 0.73 0.04 0.00 0.01 0.00 0.01"
"816 918 968 971 1018 1071 1119 1120 1121 1167 1168 1169 1170 1171 1172 1220 1270","17 24","1170","0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.02 0.00 0.20 0.18 0.24 0.24 0.00 0.00 0.01 0.07"
"968 1018 1117 1119 1120 1121 1166 1167 1168 1169 1170 1171 1172 1216 1217 1218 1219 1220 1266 1267 1270 1313","18 23","1170","0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.06 0.19 0.54 0.13 0.00 0.00 0.01 0.01 0.01 0.01 0.00 0.00 0.00 0.01 0.00"
"968 1117 1119 1120 1166 1167 1168 1169 1170 1171 1172 1177 1216 1217 1218 1219 1220 1266 1267 1270 1313","23 21","1170","0.00 0.00 0.06 0.08 0.00 0.04 0.10 0.45 0.23 0.01 0.02 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.00"
"918 968 1069 1117 1119 1120 1121 1166 1167 1168 1169 1170 1171 1172 1177 1216 1217 1218 1219 1220 1266 1267 1270 1274 1313","18 23","1170","0.00 0.00 0.00 0.00 0.01 0.03 0.00 0.00 0.03 0.13 0.55 0.18 0.01 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.01 0.00 0.00"
"918 968 1117 1119 1120 1121 1166 1167 1168 1169 1170 1171 1172 1177 1216 1217 1218 1219 1220 1266 1267 1270 1313","21 22","1170","0.00 0.00 0.00 0.01 0.04 0.01 0.00 0.01 0.05 0.40 0.37 0.04 0.03 0.00 0.00 0.00 0.00 0.02 0.01 0.00 0.00 0.01 0.00"
"918 968 1018 1119 1120 1121 1167 1168 1169 1170 1171 1172 1174 1177 1216 1217 1218 1219 1220 1266 1267 1270 1274","20 22","1169","0.00 0.00 0.00 0.01 0.06 0.01 0.01 0.03 0.28 0.51 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.01 0.00"
"918 968 971 1018 1069 1071 1119 1120 1121 1167 1168 1169 1170 1171 1172 1174 1177 1219 1220 1266 1270 1274","20 23","1169","0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.01 0.00 0.01 0.16 0.68 0.07 0.01 0.00 0.00 0.00 0.01 0.00 0.01 0.00"
"918 968 1018 1119 1120 1121 1167 1168 1169 1170 1171 1172 1174 1219 1220 1266 1270 1274","17 20","1168","0.00 0.04 0.06 0.05 0.03 0.00 0.03 0.08 0.36 0.31 0.01 0.00 0.00 0.00 0.01 0.00 0.01 0.00"
