"state_no_vec","z","z_true","pr_post"
"868 869 917 918","18 16","868","0.99 0.01 0.00 0.00"
"868 869 917 918","16 18","917","0.00 0.00 1.00 0.00"
"765 816 868 869 913 914 917 918 967 1017 1018 1117","13 16","914","0.04 0.08 0.00 0.00 0.44 0.37 0.05 0.01 0.01 0.00 0.00 0.00"
"565 614 664 816 817 866 867 868 869 917 918 963 967 1014 1017","12 17","963","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.86 0.00 0.14 0.00"
"916 963 967 1014 1017 1107 1108 1110 1157","12 19","963","0.08 0.90 0.00 0.02 0.00 0.00 0.00 0.00 0.00"
"916 918 963 967 1014 1017 1157","15 19","1014","0.03 0.03 0.03 0.00 0.91 0.00 0.00"
"869 916 917 918 963 967 1014 1017 1107 1108 1110 1157","7 22","1157","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.12 0.49 0.08 0.31"
"1016 1017 1406 1456 1556","5 31","1556","0.00 0.00 0.00 0.00 1.00"
"1207 1708 1856","6 37","1856","0.00 0.00 1.00"
"1957 2056 2212","7 42","2056","0.00 0.98 0.02"
"2302 2319","2 46","2302","1.00 0.00"
"2403","3 48","2403","1.00"
"2407","7 48","2407","1.00"
"2457","7 49","2457","1.00"
"2307 2457","7 49","2457","0.00 1.00"
"2307 2457","6 48","2457","0.00 1.00"
"2307 2457","7 48","2457","0.00 1.00"
"2307 2457","6 49","2457","0.00 1.00"
"2307 2457","7 45","2307","1.00 0.00"
"2155","5 43","2155","1.00"
"2005","5 40","2005","1.00"
"1958","8 39","1958","1.00"
"1861","11 37","1861","1.00"
"1663","13 33","1663","1.00"
"1363","13 27","1363","1.00"
"1216 1217 1409 1510","16 24","1217","0.05 0.95 0.00 0.00"
"1068 1117 1167 1168 1217 1266 1267 1318 1413","17 22","1167","0.01 0.04 0.63 0.06 0.26 0.01 0.00 0.00 0.00"
"967 1017 1018 1067 1068 1117 1166 1167 1168 1169 1216 1217 1263 1264 1266 1267 1318 1363","17 18","1017","0.24 0.46 0.13 0.09 0.03 0.01 0.00 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"868 917 918 919 967 1017 1018 1019 1067 1068 1069 1070 1117 1119 1120 1166 1167 1168 1169 1217","18 17","917","0.08 0.06 0.61 0.01 0.18 0.01 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"816 868 869 915 917 918 919 967 968 969 1017 1018 1019 1067 1068 1070 1117 1119 1120 1167 1169 1170","17 18","917","0.00 0.03 0.01 0.00 0.41 0.35 0.00 0.13 0.03 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"765 816 868 869 913 914 915 917 918 919 920 967 968 969 1017 1018 1019 1067 1068 1070 1117 1120 1170","16 17","917","0.00 0.02 0.01 0.01 0.00 0.00 0.00 0.61 0.19 0.00 0.00 0.12 0.01 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"664 765 816 817 868 869 912 913 914 915 917 918 919 967 968 969 1014 1017 1018 1019 1067 1068 1070 1117 1120 1170","19 19","917","0.00 0.00 0.00 0.00 0.02 0.02 0.00 0.00 0.00 0.00 0.18 0.48 0.01 0.13 0.03 0.01 0.00 0.03 0.03 0.03 0.00 0.00 0.01 0.00 0.01 0.00"
"765 816 867 868 869 913 914 915 917 918 919 920 967 968 969 1017 1018 1019 1067 1068 1070 1117 1119 1120 1167 1169 1170","18 18","917","0.00 0.00 0.00 0.02 0.04 0.00 0.00 0.00 0.15 0.46 0.02 0.00 0.13 0.10 0.01 0.01 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"765 816 868 869 913 914 915 917 918 919 920 967 968 969 1017 1018 1019 1067 1068 1070 1117 1119 1120 1167 1169 1170","17 16","917","0.00 0.06 0.09 0.12 0.00 0.00 0.00 0.18 0.47 0.01 0.00 0.03 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"614 664 765 816 817 818 819 868 869 913 914 915 917 918 919 920 967 968 969 970 1017 1018 1067 1070 1117 1120 1170","17 20","917","0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.02 0.00 0.00 0.00 0.27 0.15 0.01 0.00 0.28 0.05 0.01 0.00 0.08 0.05 0.01 0.01 0.00 0.02 0.02"
"664 765 816 817 867 868 869 912 913 914 915 917 918 919 920 967 968 969 1014 1017 1018 1019 1067 1068 1069 1070 1117 1119 1120 1167 1168 1169 1170 1220","16 15","917","0.00 0.01 0.10 0.03 0.00 0.10 0.10 0.00 0.00 0.00 0.00 0.12 0.45 0.01 0.00 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"565 614 664 765 816 817 818 819 866 867 868 869 913 914 915 917 918 919 920 967 968 969 1017 1018 1067 1070 1117 1119 1120 1170","17 17","917","0.00 0.00 0.00 0.00 0.06 0.04 0.01 0.00 0.00 0.01 0.08 0.09 0.00 0.00 0.00 0.34 0.29 0.01 0.00 0.04 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"614 664 765 816 817 818 819 868 869 912 913 914 915 917 918 919 920 967 968 969 1014 1017 1018 1019 1067 1070 1117 1120 1170","15 16","917","0.00 0.00 0.02 0.40 0.04 0.01 0.00 0.04 0.04 0.00 0.00 0.00 0.00 0.27 0.10 0.00 0.00 0.05 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"565 614 661 664 765 816 817 818 819 866 867 868 869 912 913 914 915 917 918 919 920 967 968 1014 1017 1018 1067 1070 1117 1120 1170","16 16","917","0.00 0.00 0.00 0.01 0.01 0.57 0.13 0.01 0.00 0.01 0.01 0.02 0.01 0.00 0.00 0.00 0.00 0.14 0.06 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"565 614 661 664 765 816 817 818 819 866 867 868 869 913 914 915 917 918 919 967 968 1017 1018 1117 1120 1170","18 19","917","0.00 0.00 0.00 0.00 0.00 0.12 0.10 0.04 0.00 0.00 0.00 0.16 0.04 0.00 0.00 0.00 0.25 0.22 0.01 0.03 0.01 0.01 0.01 0.00 0.00 0.00"
"614 664 765 768 816 817 818 819 868 869 913 914 915 917 918 919 920 967 968 969 1017 1018 1067 1070 1117 1120 1169 1170","16 20","917","0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.05 0.19 0.05 0.00 0.00 0.26 0.01 0.00 0.25 0.02 0.03 0.00 0.07 0.00 0.00 0.00"
"664 765 816 817 868 869 912 913 914 917 918 919 963 967 968 1014 1017 1018 1019 1067 1068 1069 1070 1117 1119 1120 1167 1168 1169 1170","19 20","917","0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.06 0.25 0.01 0.00 0.15 0.01 0.00 0.05 0.12 0.24 0.01 0.00 0.03 0.02 0.00 0.00 0.01 0.00 0.00 0.00 0.00"
"816 867 868 869 913 915 917 918 919 920 967 968 969 1017 1018 1019 1067 1068 1070 1117 1119 1120 1167 1169 1170 1220","17 18","918","0.00 0.00 0.01 0.02 0.00 0.00 0.17 0.47 0.01 0.00 0.21 0.04 0.00 0.02 0.01 0.01 0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00"
"765 816 868 869 913 914 915 917 918 919 920 967 968 969 1017 1018 1019 1067 1068 1070 1117 1119 1120 1167 1169 1170","18 18","869","0.00 0.00 0.03 0.07 0.00 0.00 0.00 0.09 0.58 0.04 0.00 0.06 0.06 0.03 0.01 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"765 816 868 869 913 914 915 917 918 919 920 967 968 969 970 971 1017 1018 1019 1067 1070 1117 1119 1120 1167 1169 1170","19 18","869","0.00 0.00 0.03 0.31 0.00 0.00 0.00 0.04 0.33 0.13 0.06 0.01 0.03 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"717 768 816 818 819 820 868 869 913 915 917 918 919 920 921 967 968 969 970 971 972 1017 1018 1022 1070 1117 1119 1120 1169 1170","20 15","869","0.00 0.00 0.00 0.01 0.03 0.03 0.02 0.72 0.00 0.00 0.00 0.02 0.02 0.11 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
