"grid_id","lat","lng","lat_min","lng_min","lat_max","lng_max"
"0","40.195510000000006","116.15450999999999","40.191010000000006","116.15001","40.200010000000006","116.15901"
"1","40.195510000000006","116.16351","40.191010000000006","116.15901","40.200010000000006","116.16801"
"2","40.195510000000006","116.17250999999999","40.191010000000006","116.16801","40.200010000000006","116.17701"
"3","40.195510000000006","116.18151","40.191010000000006","116.17701","40.200010000000006","116.18601"
"4","40.195510000000006","116.19050999999999","40.191010000000006","116.18601","40.200010000000006","116.19501"
"5","40.195510000000006","116.19951","40.191010000000006","116.19501","40.200010000000006","116.20401"
"6","40.195510000000006","116.20850999999999","40.191010000000006","116.20401","40.200010000000006","116.21301"
"7","40.195510000000006","116.21751","40.191010000000006","116.21301","40.200010000000006","116.22201"
"8","40.195510000000006","116.22650999999999","40.191010000000006","116.22201","40.200010000000006","116.23101"
"9","40.195510000000006","116.23551","40.191010000000006","116.23101","40.200010000000006","116.24001"
"10","40.195510000000006","116.24450999999999","40.191010000000006","116.24001","40.200010000000006","116.24901"
"11","40.195510000000006","116.25351","40.191010000000006","116.24901","40.200010000000006","116.25801"
"12","40.195510000000006","116.26250999999999","40.191010000000006","116.25801","40.200010000000006","116.26701"
"13","40.195510000000006","116.27151","40.191010000000006","116.26701","40.200010000000006","116.27601"
"14","40.195510000000006","116.28050999999999","40.191010000000006","116.27601","40.200010000000006","116.28501"
"15","40.195510000000006","116.28951","40.191010000000006","116.28501","40.200010000000006","116.29401"
"16","40.195510000000006","116.29851","40.191010000000006","116.29401","40.200010000000006","116.30301"
"17","40.195510000000006","116.30751000000001","40.191010000000006","116.30301","40.200010000000006","116.31201"
"18","40.195510000000006","116.31651","40.191010000000006","116.31201","40.200010000000006","116.32101"
"19","40.195510000000006","116.32551000000001","40.191010000000006","116.32101","40.200010000000006","116.33001"
"20","40.195510000000006","116.33451","40.191010000000006","116.33001","40.200010000000006","116.33901"
"21","40.195510000000006","116.34351000000001","40.191010000000006","116.33901","40.200010000000006","116.34801"
"22","40.195510000000006","116.35251","40.191010000000006","116.34801","40.200010000000006","116.35701"
"23","40.195510000000006","116.36151000000001","40.191010000000006","116.35701","40.200010000000006","116.36601"
"24","40.195510000000006","116.37051","40.191010000000006","116.36601","40.200010000000006","116.37501"
"25","40.195510000000006","116.37951000000001","40.191010000000006","116.37501","40.200010000000006","116.38401"
"26","40.195510000000006","116.38851","40.191010000000006","116.38400999999999","40.200010000000006","116.39300999999999"
"27","40.195510000000006","116.39750999999998","40.191010000000006","116.39300999999999","40.200010000000006","116.40200999999999"
"28","40.195510000000006","116.40651","40.191010000000006","116.40200999999999","40.200010000000006","116.41100999999999"
"29","40.195510000000006","116.41550999999998","40.191010000000006","116.41100999999999","40.200010000000006","116.42000999999999"
"30","40.195510000000006","116.42451","40.191010000000006","116.42000999999999","40.200010000000006","116.42900999999999"
"31","40.195510000000006","116.43350999999998","40.191010000000006","116.42900999999999","40.200010000000006","116.43800999999999"
"32","40.195510000000006","116.44251","40.191010000000006","116.43800999999999","40.200010000000006","116.44700999999999"
"33","40.195510000000006","116.45150999999998","40.191010000000006","116.44700999999999","40.200010000000006","116.45600999999999"
"34","40.195510000000006","116.46051","40.191010000000006","116.45600999999999","40.200010000000006","116.46500999999999"
"35","40.195510000000006","116.46950999999999","40.191010000000006","116.46500999999999","40.200010000000006","116.47400999999999"
"36","40.195510000000006","116.47851","40.191010000000006","116.47400999999999","40.200010000000006","116.48301"
"37","40.195510000000006","116.48750999999999","40.191010000000006","116.48301","40.200010000000006","116.49201"
"38","40.195510000000006","116.49651","40.191010000000006","116.49201","40.200010000000006","116.50101"
"39","40.195510000000006","116.50550999999999","40.191010000000006","116.50101","40.200010000000006","116.51001"
"40","40.195510000000006","116.51451","40.191010000000006","116.51001","40.200010000000006","116.51901"
"41","40.195510000000006","116.52350999999999","40.191010000000006","116.51901","40.200010000000006","116.52801"
"42","40.195510000000006","116.53251","40.191010000000006","116.52801","40.200010000000006","116.53701"
"43","40.195510000000006","116.54150999999999","40.191010000000006","116.53701","40.200010000000006","116.54601"
"44","40.195510000000006","116.55051","40.191010000000006","116.54601","40.200010000000006","116.55501"
"45","40.195510000000006","116.55950999999999","40.191010000000006","116.55501","40.200010000000006","116.56401"
"46","40.195510000000006","116.56851","40.191010000000006","116.56401","40.200010000000006","116.57301"
"47","40.195510000000006","116.57750999999999","40.191010000000006","116.57301","40.200010000000006","116.58201"
"48","40.195510000000006","116.58651","40.191010000000006","116.58201","40.200010000000006","116.59101"
"49","40.195510000000006","116.59550999999999","40.191010000000006","116.59101","40.200010000000006","116.60001"
"50","40.186510000000006","116.15450999999999","40.182010000000005","116.15001","40.191010000000006","116.15901"
"51","40.186510000000006","116.16351","40.182010000000005","116.15901","40.191010000000006","116.16801"
"52","40.186510000000006","116.17250999999999","40.182010000000005","116.16801","40.191010000000006","116.17701"
"53","40.186510000000006","116.18151","40.182010000000005","116.17701","40.191010000000006","116.18601"
"54","40.186510000000006","116.19050999999999","40.182010000000005","116.18601","40.191010000000006","116.19501"
"55","40.186510000000006","116.19951","40.182010000000005","116.19501","40.191010000000006","116.20401"
"56","40.186510000000006","116.20850999999999","40.182010000000005","116.20401","40.191010000000006","116.21301"
"57","40.186510000000006","116.21751","40.182010000000005","116.21301","40.191010000000006","116.22201"
"58","40.186510000000006","116.22650999999999","40.182010000000005","116.22201","40.191010000000006","116.23101"
"59","40.186510000000006","116.23551","40.182010000000005","116.23101","40.191010000000006","116.24001"
