"state_no_vec","z","z_true","pr_post"
"3633 3634 3733 3735 3834 4430","22 61","4430","0.0403 0.3628 0.1827 0.0457 0.2588 0.1096"
"3633 3634 3635 3733 3734 3736 3835 3934 4136 4429","28 48","4429","0.1836 0.0127 0.0458 0.0173 0.3848 0.0209 0.0413 0.0702 0.0049 0.2185"
"3535 3633 3634 3635 3636 3733 3734 3735 3834 3935 4135 4136 4236 4329 4430","26 38","4430","0.0111 0.0363 0.2340 0.0013 0.0178 0.1768 0.0119 0.0258 0.1298 0.0445 0.0019 0.0095 0.0008 0.2802 0.0184"
"3534 3633 3634 3635 3733 3734 3735 3736 3834 3835 3934 4035 4135 4136 4229 4236 4429 4430","43 36","4430","0.0089 0.2030 0.0236 0.0730 0.0211 0.3207 0.0013 0.0244 0.0034 0.0602 0.0397 0.0253 0.0083 0.0074 0.1632 0.0054 0.0107 0.0004"
"3434 3535 3633 3634 3635 3636 3733 3734 3735 3736 3834 3934 3935 4035 4036 4129 4135 4136 4236 4329 4336 4430","36 32","4035","0.0084 0.0334 0.0405 0.2887 0.0042 0.0415 0.1691 0.0247 0.0445 0.0008 0.1385 0.0008 0.0556 0.0050 0.0031 0.0958 0.0079 0.0199 0.0031 0.0055 0.0014 0.0078"
"3333 3334 3534 3535 3633 3634 3635 3636 3733 3734 3735 3736 3834 3835 3934 3935 4035 4036 4128 4135 4136 4229 4236 4336 4429 4430","28 45","4135","0.0031 0.0016 0.0229 0.0010 0.2080 0.0250 0.0749 0.0009 0.0255 0.2862 0.0021 0.0224 0.0060 0.0468 0.0380 0.0032 0.0293 0.0006 0.1451 0.0139 0.0074 0.0092 0.0075 0.0012 0.0159 0.0022"
"3233 3333 3434 3534 3535 3633 3634 3635 3636 3733 3734 3735 3736 3834 3835 3934 3935 4028 4035 4036 4129 4135 4136 4236 4329 4336 4429 4430","47 42","4136","0.0017 0.0012 0.0163 0.0007 0.0302 0.0363 0.2354 0.0053 0.0377 0.1573 0.0289 0.0439 0.0016 0.1303 0.0035 0.0019 0.0721 0.0784 0.0150 0.0062 0.0056 0.0142 0.0431 0.0080 0.0097 0.0046 0.0014 0.0094"
"3232 3233 3333 3334 3534 3535 3633 3634 3635 3636 3733 3734 3735 3736 3834 3835 3928 3934 3935 4035 4036 4128 4135 4136 4229 4236 4329 4335 4336 4429 4430","41 27","4236","0.0012 0.0010 0.0094 0.0050 0.0306 0.0023 0.1874 0.0315 0.0979 0.0028 0.0228 0.2853 0.0034 0.0342 0.0101 0.0644 0.0420 0.0340 0.0112 0.0430 0.0023 0.0028 0.0285 0.0127 0.0052 0.0184 0.0007 0.0016 0.0030 0.0046 0.0007"
"3132 3232 3233 3333 3434 3534 3535 3633 3634 3635 3636 3733 3734 3735 3736 3834 3835 3927 3934 3935 4028 4035 4036 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430","45 98","4336","0.0007 0.0005 0.0045 0.0036 0.0191 0.0014 0.0307 0.0347 0.2008 0.0070 0.0401 0.1401 0.0301 0.0417 0.0021 0.1313 0.0080 0.0430 0.0036 0.0733 0.0032 0.0327 0.0077 0.0064 0.0230 0.0513 0.0009 0.0137 0.0066 0.0019 0.0136 0.0011 0.0215"
"3032 3232 3233 3333 3334 3434 3534 3535 3633 3634 3635 3636 3733 3734 3735 3736 3827 3834 3835 3928 3934 3935 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435","15 33","4335","0.0008 0.0040 0.0029 0.0113 0.0045 0.0018 0.0263 0.0021 0.1738 0.0273 0.0657 0.0021 0.0244 0.2311 0.0030 0.0201 0.0886 0.0135 0.0505 0.0058 0.0340 0.0196 0.0440 0.0035 0.0118 0.0015 0.0336 0.0139 0.0107 0.0219 0.0017 0.0048 0.0052 0.0313 0.0019 0.0007"
"3031 3132 3232 3233 3333 3434 3534 3535 3633 3634 3635 3636 3733 3734 3735 3736 3826 3834 3835 3927 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435","38 57","4435","0.0005 0.0026 0.0015 0.0060 0.0046 0.0183 0.0017 0.0229 0.0341 0.1758 0.0061 0.0250 0.1313 0.0319 0.0308 0.0018 0.0579 0.1108 0.0136 0.0043 0.0053 0.0716 0.0099 0.0430 0.0078 0.0013 0.0101 0.0244 0.0537 0.0017 0.0161 0.0326 0.0038 0.0184 0.0021 0.0130 0.0033"
"3032 3132 3232 3233 3333 3334 3434 3534 3535 3633 3634 3635 3636 3726 3733 3734 3735 3736 3827 3834 3835 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435 4535","16 27","4535","0.0030 0.0018 0.0052 0.0037 0.0113 0.0044 0.0024 0.0209 0.0020 0.1588 0.0280 0.0494 0.0019 0.1065 0.0246 0.2047 0.0029 0.0149 0.0071 0.0188 0.0483 0.0144 0.0290 0.0273 0.0018 0.0436 0.0047 0.0132 0.0021 0.0347 0.0149 0.0379 0.0237 0.0023 0.0067 0.0061 0.0135 0.0015 0.0011 0.0010"
"3031 3032 3132 3232 3233 3333 3334 3434 3534 3535 3633 3634 3635 3636 3725 3733 3734 3735 3736 3826 3834 3835 3927 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435 4535","39 6","4535","0.0043 0.0027 0.0076 0.0038 0.0126 0.0092 0.0009 0.0255 0.0027 0.0261 0.0424 0.2001 0.0077 0.0245 0.0634 0.1316 0.0399 0.0279 0.0020 0.0043 0.0982 0.0187 0.0091 0.0013 0.0063 0.0569 0.0086 0.0365 0.0058 0.0013 0.0252 0.0163 0.0350 0.0015 0.0099 0.0081 0.0023 0.0105 0.0008 0.0060 0.0023 0.0003"
"2833 2834 2931 3031 3032 3132 3232 3233 3333 3334 3434 3534 3535 3625 3633 3634 3635 3636 3726 3733 3734 3735 3736 3827 3834 3835 3927 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435 4535","-12 29","4535","0.0014 0.0012 0.0017 0.0032 0.0081 0.0041 0.0101 0.0067 0.0164 0.0057 0.0038 0.0231 0.0024 0.1278 0.1550 0.0323 0.0483 0.0020 0.0080 0.0280 0.1928 0.0034 0.0129 0.0152 0.0227 0.0371 0.0021 0.0131 0.0240 0.0241 0.0020 0.0317 0.0039 0.0386 0.0020 0.0245 0.0110 0.0113 0.0159 0.0012 0.0044 0.0040 0.0084 0.0024 0.0009 0.0008"
"2832 2833 2834 2835 2931 3031 3032 3132 3232 3233 3333 3334 3434 3534 3535 3624 3633 3634 3635 3636 3725 3733 3734 3735 3736 3826 3827 3834 3835 3927 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435 4535","53 9","4535","0.0009 0.0019 0.0053 0.0012 0.0013 0.0098 0.0052 0.0124 0.0060 0.0155 0.0112 0.0012 0.0266 0.0033 0.0258 0.0786 0.0419 0.1827 0.0089 0.0231 0.0050 0.1185 0.0459 0.0278 0.0025 0.0098 0.0015 0.0858 0.0187 0.0087 0.0014 0.0073 0.0483 0.0260 0.0317 0.0050 0.0013 0.0078 0.0139 0.0344 0.0008 0.0089 0.0053 0.0019 0.0091 0.0015 0.0060 0.0020 0.0003"
"2832 2833 2834 2835 2931 2934 2935 3031 3032 3132 3232 3233 3333 3334 3434 3524 3534 3535 3625 3633 3634 3635 3636 3726 3733 3734 3735 3736 3826 3827 3834 3835 3927 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435 4535","12 -1","4535","0.0015 0.0065 0.0080 0.0044 0.0051 0.0015 0.0011 0.0078 0.0178 0.0081 0.0150 0.0116 0.0216 0.0075 0.0056 0.1242 0.0263 0.0034 0.0072 0.1456 0.0376 0.0516 0.0030 0.0128 0.0284 0.1788 0.0042 0.0144 0.0018 0.0103 0.0237 0.0326 0.0016 0.0281 0.0194 0.0219 0.0014 0.0250 0.0032 0.0076 0.0007 0.0204 0.0092 0.0047 0.0130 0.0013 0.0030 0.0030 0.0048 0.0017 0.0006 0.0005"
"2832 2833 2834 2835 2836 2931 2934 2935 2936 3031 3032 3132 3232 3233 3333 3334 3434 3523 3534 3535 3624 3633 3634 3635 3636 3725 3726 3733 3734 3735 3736 3826 3827 3834 3835 3927 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435","59 54","4435","0.0021 0.0029 0.0078 0.0036 0.0011 0.0017 0.0012 0.0035 0.0009 0.0124 0.0059 0.0115 0.0070 0.0150 0.0118 0.0013 0.0247 0.0662 0.0041 0.0239 0.0041 0.0420 0.1641 0.0105 0.0234 0.0080 0.0012 0.1167 0.0516 0.0288 0.0032 0.0069 0.0011 0.0874 0.0194 0.0204 0.0011 0.0089 0.0477 0.0059 0.0348 0.0052 0.0006 0.0040 0.0151 0.0410 0.0011 0.0100 0.0041 0.0020 0.0104 0.0014 0.0078 0.0021"
"2832 2833 2834 2835 2836 2837 2931 2934 2935 2936 3031 3032 3132 3232 3233 3333 3334 3423 3434 3524 3534 3535 3625 3633 3634 3635 3636 3725 3726 3733 3734 3735 3736 3826 3827 3834 3835 3927 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435 4535","30 23","4535","0.0024 0.0092 0.0117 0.0070 0.0026 0.0009 0.0068 0.0023 0.0051 0.0051 0.0091 0.0173 0.0101 0.0153 0.0144 0.0217 0.0074 0.0692 0.0069 0.0044 0.0261 0.0044 0.0083 0.1456 0.0432 0.0532 0.0041 0.0012 0.0069 0.0311 0.1819 0.0053 0.0161 0.0011 0.0194 0.0274 0.0349 0.0010 0.0054 0.0209 0.0261 0.0005 0.0273 0.0039 0.0032 0.0009 0.0255 0.0107 0.0031 0.0164 0.0010 0.0036 0.0035 0.0053 0.0017 0.0005 0.0006"
"2832 2833 2834 2835 2836 2837 2931 2934 2935 2936 2937 3031 3032 3036 3132 3232 3233 3333 3334 3422 3434 3523 3534 3535 3624 3625 3633 3634 3635 3636 3725 3726 3733 3734 3735 3736 3826 3827 3834 3835 3927 3928 3934 3935 4028 4035 4036 4128 4129 4135 4136 4229 4236 4329 4335 4336 4429 4430 4435","68 34","4435","0.0041 0.0051 0.0153 0.0077 0.0075 0.0020 0.0025 0.0024 0.0077 0.0067 0.0006 0.0146 0.0091 0.0015 0.0138 0.0098 0.0182 0.0142 0.0018 0.0322 0.0263 0.0022 0.0053 0.0255 0.0045 0.0007 0.0441 0.1621 0.0129 0.0262 0.0040 0.0007 0.1074 0.0550 0.0282 0.0039 0.0121 0.0006 0.0814 0.0210 0.0036 0.0004 0.0090 0.0452 0.0023 0.0370 0.0049 0.0006 0.0024 0.0148 0.0398 0.0008 0.0099 0.0041 0.0020 0.0113 0.0013 0.0073 0.0021"
