"state_no_vec","z","z_true","pr_post"
"4841 4940 4942 5040 5041 5141","41 47","5141","0.0495 0.1781 0.3034 0.0182 0.4325 0.0182"
"4641 4741 4840 4841 4842 4939 4940 4941 4943 5039 5040 5041 5042 5140 5141 5142 5240 5241 5737","36 69","5041","0.0002 0.0077 0.0179 0.0002 0.0169 0.0146 0.0209 0.2025 0.0305 0.0028 0.1281 0.0169 0.5139 0.0078 0.0087 0.0065 0.0004 0.0032 0.0004"
"4640 4641 4740 4741 4839 4840 4841 4842 4843 4938 4939 4940 4941 4942 4944 5036 5039 5040 5041 5042 5043 5139 5140 5141 5142 5143 5240 5241 5242 5737","42 46","5042","0.0017 0.0056 0.0075 0.0019 0.0023 0.0067 0.0110 0.0003 0.0064 0.0013 0.0118 0.1294 0.0091 0.2092 0.0074 0.0002 0.0142 0.0250 0.4681 0.0104 0.0341 0.0036 0.0107 0.0125 0.0018 0.0019 0.0018 0.0009 0.0023 0.0011"
