"state_no_vec","z","z_true","pr_post"
"4938 4940 5039 5138 5338","36 48","5338","0.0755 0.0139 0.8738 0.0229 0.0139"
"4840 4938 4939 4940 4941 5038 5039 5040 5137 5139 5238 5239 5340","45 55","4940","0.0013 0.0083 0.2789 0.0136 0.0010 0.4564 0.0013 0.0644 0.0028 0.1462 0.0040 0.0008 0.0211"
"4636 4737 4740 4839 4840 4938 4939 4940 4941 5038 5039 5040 5138 5140 5237 5239 5338 5339","41 29","4939","0.0107 0.0100 0.0014 0.0185 0.0016 0.0185 0.0135 0.1580 0.0007 0.0058 0.6754 0.0089 0.0463 0.0070 0.0018 0.0166 0.0050 0.0002"
"4636 4640 4736 4737 4738 4739 4740 4741 4839 4840 4938 4939 4940 4941 5038 5039 5040 5137 5139 5140 5236 5238 5239 5339 5340","36 41","4839","0.0006 0.0009 0.0037 0.0005 0.0110 0.0182 0.0015 0.0007 0.0009 0.0171 0.0093 0.3239 0.0209 0.0073 0.3846 0.0272 0.0575 0.0064 0.0847 0.0009 0.0013 0.0056 0.0048 0.0052 0.0051"
"4636 4640 4735 4737 4738 4739 4740 4741 4742 4839 4840 4938 4939 4940 4941 5038 5039 5040 5041 5136 5138 5139 5140 5237 5239 5336 5338 5339 5340 5439","43 57","4739","0.0044 0.0004 0.0010 0.0112 0.0003 0.0033 0.0188 0.0005 0.0006 0.0190 0.0018 0.0124 0.0226 0.1531 0.0009 0.0204 0.6156 0.0145 0.0028 0.0005 0.0396 0.0051 0.0088 0.0061 0.0192 0.0006 0.0082 0.0032 0.0005 0.0048"
"4635 4636 4640 4736 4737 4738 4739 4740 4741 4742 4743 4839 4840 4938 4939 4940 4941 4942 5036 5038 5039 5040 5137 5138 5139 5140 5236 5238 5239 5337 5339 5340 5439 5539","36 49","4740","0.0005 0.0005 0.0059 0.0036 0.0008 0.0085 0.0118 0.0030 0.0055 0.0003 0.0003 0.0022 0.0141 0.0093 0.2620 0.0217 0.0049 0.0019 0.0007 0.4054 0.0501 0.0510 0.0076 0.0020 0.0860 0.0015 0.0063 0.0065 0.0072 0.0005 0.0092 0.0055 0.0016 0.0023"
"4540 4636 4639 4640 4735 4737 4738 4739 4740 4741 4742 4743 4839 4840 4938 4939 4940 4941 4943 5035 5037 5038 5039 5040 5041 5042 5136 5137 5138 5139 5140 5237 5238 5239 5336 5338 5339 5340 5437 5439 5538 5539","56 46","4741","0.0022 0.0045 0.0020 0.0013 0.0012 0.0109 0.0005 0.0042 0.0217 0.0015 0.0080 0.0005 0.0170 0.0027 0.0137 0.0310 0.1427 0.0024 0.0008 0.0002 0.0003 0.0309 0.5822 0.0149 0.0021 0.0007 0.0022 0.0003 0.0355 0.0085 0.0072 0.0061 0.0003 0.0171 0.0022 0.0066 0.0041 0.0007 0.0002 0.0067 0.0013 0.0010"
"4440 4540 4635 4636 4638 4639 4640 4736 4737 4738 4739 4740 4741 4742 4743 4839 4840 4938 4939 4940 4941 4942 5036 5038 5039 5040 5041 5043 5137 5138 5139 5140 5236 5238 5239 5337 5338 5339 5340 5439 5537 5538 5539","28 30","4742","0.0015 0.0006 0.0011 0.0013 0.0027 0.0006 0.0114 0.0052 0.0016 0.0105 0.0136 0.0055 0.0086 0.0014 0.0066 0.0033 0.0164 0.0093 0.2573 0.0270 0.0051 0.0025 0.0028 0.3629 0.0638 0.0474 0.0006 0.0003 0.0061 0.0034 0.0776 0.0015 0.0060 0.0054 0.0072 0.0019 0.0005 0.0083 0.0050 0.0022 0.0006 0.0005 0.0032"
